Entity,Code,Year,World regions according to OWID
Afghanistan,AFG,2023,Asia
Aland Islands,ALA,2023,Europe
Albania,ALB,2023,Europe
Algeria,DZA,2023,Africa
American Samoa,ASM,2023,Oceania
Andorra,AND,2023,Europe
Angola,AGO,2023,Africa
Anguilla,AIA,2023,North America
Antigua and Barbuda,ATG,2023,North America
Argentina,ARG,2023,South America
Armenia,ARM,2023,Asia
Aruba,ABW,2023,North America
Australia,AUS,2023,Oceania
Austria,AUT,2023,Europe
Austria-Hungary,OWID_AUH,2023,Europe
Azerbaijan,AZE,2023,Asia
Bahamas,BHS,2023,North America
Bahrain,BHR,2023,Asia
Bangladesh,BGD,2023,Asia
Barbados,BRB,2023,North America
Belarus,BLR,2023,Europe
Belgium,BEL,2023,Europe
Belize,BLZ,2023,North America
Benin,BEN,2023,Africa
Bermuda,BMU,2023,North America
Bhutan,BTN,2023,Asia
Bolivia,BOL,2023,South America
Bonaire Sint Eustatius and Saba,BES,2023,North America
Bosnia and Herzegovina,BIH,2023,Europe
Botswana,BWA,2023,Africa
Brazil,BRA,2023,South America
British Indian Ocean Territory,IOT,2023,Asia
British Virgin Islands,VGB,2023,North America
Brunei,BRN,2023,Asia
Bulgaria,BGR,2023,Europe
Burkina Faso,BFA,2023,Africa
Burundi,BDI,2023,Africa
Cambodia,KHM,2023,Asia
Cameroon,CMR,2023,Africa
Canada,CAN,2023,North America
Cape Verde,CPV,2023,Africa
Cayman Islands,CYM,2023,North America
Central African Republic,CAF,2023,Africa
Chad,TCD,2023,Africa
Chile,CHL,2023,South America
China,CHN,2023,Asia
Christmas Island,CXR,2023,Asia
Cocos Islands,CCK,2023,Asia
Colombia,COL,2023,South America
Comoros,COM,2023,Africa
Congo,COG,2023,Africa
Cook Islands,COK,2023,Oceania
Costa Rica,CRI,2023,North America
Cote d'Ivoire,CIV,2023,Africa
Croatia,HRV,2023,Europe
Cuba,CUB,2023,North America
Curacao,CUW,2023,North America
Cyprus,CYP,2023,Europe
Czechia,CZE,2023,Europe
Czechoslovakia,OWID_CZS,2023,Europe
Democratic Republic of Congo,COD,2023,Africa
Democratic Republic of Vietnam,,2023,Asia
Denmark,DNK,2023,Europe
Djibouti,DJI,2023,Africa
Dominica,DMA,2023,North America
Dominican Republic,DOM,2023,North America
Duchy of Modena and Reggio,,2023,Europe
Duchy of Parma and Piacenza,,2023,Europe
East Germany,OWID_GDR,2023,Europe
East Timor,TLS,2023,Asia
Ecuador,ECU,2023,South America
Egypt,EGY,2023,Africa
El Salvador,SLV,2023,North America
Equatorial Guinea,GNQ,2023,Africa
Eritrea,ERI,2023,Africa
Estonia,EST,2023,Europe
Eswatini,SWZ,2023,Africa
Ethiopia,ETH,2023,Africa
Ethiopia (former),OWID_ERE,2023,Africa
Falkland Islands,FLK,2023,South America
Faroe Islands,FRO,2023,Europe
Federal Republic of Central America,,2023,North America
Fiji,FJI,2023,Oceania
Finland,FIN,2023,Europe
France,FRA,2023,Europe
French Guiana,GUF,2023,South America
French Polynesia,PYF,2023,Oceania
Gabon,GAB,2023,Africa
Gambia,GMB,2023,Africa
Georgia,GEO,2023,Asia
Germany,DEU,2023,Europe
Ghana,GHA,2023,Africa
Gibraltar,GIB,2023,Europe
Grand Duchy of Baden,,2023,Europe
Grand Duchy of Tuscany,,2023,Europe
Great Colombia,,2023,South America
Greece,GRC,2023,Europe
Greenland,GRL,2023,North America
Grenada,GRD,2023,North America
Guadeloupe,GLP,2023,North America
Guam,GUM,2023,Oceania
Guatemala,GTM,2023,North America
Guernsey,GGY,2023,Europe
Guinea,GIN,2023,Africa
Guinea-Bissau,GNB,2023,Africa
Guyana,GUY,2023,South America
Haiti,HTI,2023,North America
Honduras,HND,2023,North America
Hong Kong,HKG,2023,Asia
Hungary,HUN,2023,Europe
Iceland,ISL,2023,Europe
India,IND,2023,Asia
Indonesia,IDN,2023,Asia
Iran,IRN,2023,Asia
Iraq,IRQ,2023,Asia
Ireland,IRL,2023,Europe
Isle of Man,IMN,2023,Europe
Israel,ISR,2023,Asia
Italy,ITA,2023,Europe
Jamaica,JAM,2023,North America
Japan,JPN,2023,Asia
Jersey,JEY,2023,Europe
Jordan,JOR,2023,Asia
Kazakhstan,KAZ,2023,Asia
Kenya,KEN,2023,Africa
Kingdom of Bavaria,,2023,Europe
Kingdom of Sardinia,,2023,Europe
Kingdom of Saxony,,2023,Europe
Kingdom of Wurttemberg,,2023,Europe
Kingdom of the Two Sicilies,,2023,Europe
Kiribati,KIR,2023,Oceania
Korea (former),OWID_KRU,2023,Asia
Kosovo,OWID_KOS,2023,Europe
Kuwait,KWT,2023,Asia
Kyrgyzstan,KGZ,2023,Asia
Laos,LAO,2023,Asia
Latvia,LVA,2023,Europe
Lebanon,LBN,2023,Asia
Lesotho,LSO,2023,Africa
Liberia,LBR,2023,Africa
Libya,LBY,2023,Africa
Liechtenstein,LIE,2023,Europe
Lithuania,LTU,2023,Europe
Luxembourg,LUX,2023,Europe
Macao,MAC,2023,Asia
Madagascar,MDG,2023,Africa
Malawi,MWI,2023,Africa
Malaysia,MYS,2023,Asia
Maldives,MDV,2023,Asia
Mali,MLI,2023,Africa
Malta,MLT,2023,Europe
Marshall Islands,MHL,2023,Oceania
Martinique,MTQ,2023,North America
Mauritania,MRT,2023,Africa
Mauritius,MUS,2023,Africa
Mayotte,MYT,2023,Africa
Mexico,MEX,2023,North America
Micronesia (country),FSM,2023,Oceania
Moldova,MDA,2023,Europe
Monaco,MCO,2023,Europe
Mongolia,MNG,2023,Asia
Montenegro,MNE,2023,Europe
Montserrat,MSR,2023,North America
Morocco,MAR,2023,Africa
Mozambique,MOZ,2023,Africa
Myanmar,MMR,2023,Asia
Namibia,NAM,2023,Africa
Nauru,NRU,2023,Oceania
Nepal,NPL,2023,Asia
Netherlands,NLD,2023,Europe
Netherlands Antilles,ANT,2023,North America
New Caledonia,NCL,2023,Oceania
New Zealand,NZL,2023,Oceania
Nicaragua,NIC,2023,North America
Niger,NER,2023,Africa
Nigeria,NGA,2023,Africa
Niue,NIU,2023,Oceania
Norfolk Island,NFK,2023,Oceania
North Korea,PRK,2023,Asia
North Macedonia,MKD,2023,Europe
Northern Mariana Islands,MNP,2023,Oceania
Norway,NOR,2023,Europe
Oman,OMN,2023,Asia
Orange Free State,,2023,Africa
Pakistan,PAK,2023,Asia
Pakistan (former),,2023,Asia
Palau,PLW,2023,Oceania
Palestine,PSE,2023,Asia
Panama,PAN,2023,North America
Papua New Guinea,PNG,2023,Oceania
Paraguay,PRY,2023,South America
Peru,PER,2023,South America
Philippines,PHL,2023,Asia
Pitcairn,PCN,2023,Oceania
Poland,POL,2023,Europe
Portugal,PRT,2023,Europe
Puerto Rico,PRI,2023,North America
Qatar,QAT,2023,Asia
Republic of Vietnam,OWID_RVN,2023,Asia
Reunion,REU,2023,Africa
Romania,ROU,2023,Europe
Russia,RUS,2023,Europe
Rwanda,RWA,2023,Africa
Saint Barthelemy,BLM,2023,North America
Saint Helena,SHN,2023,Africa
Saint Kitts and Nevis,KNA,2023,North America
Saint Lucia,LCA,2023,North America
Saint Martin (French part),MAF,2023,North America
Saint Pierre and Miquelon,SPM,2023,North America
Saint Vincent and the Grenadines,VCT,2023,North America
Samoa,WSM,2023,Oceania
San Marino,SMR,2023,Europe
Sao Tome and Principe,STP,2023,Africa
Saudi Arabia,SAU,2023,Asia
Senegal,SEN,2023,Africa
Serbia,SRB,2023,Europe
Serbia and Montenegro,OWID_SRM,2023,Europe
Seychelles,SYC,2023,Africa
Sierra Leone,SLE,2023,Africa
Singapore,SGP,2023,Asia
Sint Maarten (Dutch part),SXM,2023,North America
Slovakia,SVK,2023,Europe
Slovenia,SVN,2023,Europe
Solomon Islands,SLB,2023,Oceania
Somalia,SOM,2023,Africa
South Africa,ZAF,2023,Africa
South Georgia and the South Sandwich Islands,SGS,2023,South America
South Korea,KOR,2023,Asia
South Sudan,SSD,2023,Africa
Spain,ESP,2023,Europe
Sri Lanka,LKA,2023,Asia
Sudan,SDN,2023,Africa
Sudan (former),,2023,Africa
Suriname,SUR,2023,South America
Sweden,SWE,2023,Europe
Switzerland,CHE,2023,Europe
Syria,SYR,2023,Asia
Taiwan,TWN,2023,Asia
Tajikistan,TJK,2023,Asia
Tanzania,TZA,2023,Africa
Thailand,THA,2023,Asia
Togo,TGO,2023,Africa
Tokelau,TKL,2023,Oceania
Tonga,TON,2023,Oceania
Trinidad and Tobago,TTO,2023,North America
Tunisia,TUN,2023,Africa
Turkey,TUR,2023,Asia
Turkmenistan,TKM,2023,Asia
Turks and Caicos Islands,TCA,2023,North America
Tuvalu,TUV,2023,Oceania
USSR,OWID_USS,2023,Europe
Uganda,UGA,2023,Africa
Ukraine,UKR,2023,Europe
United Arab Emirates,ARE,2023,Asia
United Kingdom,GBR,2023,Europe
United States,USA,2023,North America
United States Virgin Islands,VIR,2023,North America
Uruguay,URY,2023,South America
Uzbekistan,UZB,2023,Asia
Vanuatu,VUT,2023,Oceania
Vatican,VAT,2023,Europe
Venezuela,VEN,2023,South America
Vietnam,VNM,2023,Asia
Wallis and Futuna,WLF,2023,Oceania
West Germany,OWID_GFR,2023,Europe
Western Sahara,ESH,2023,Africa
Yemen,YEM,2023,Asia
Yemen Arab Republic,OWID_YAR,2023,Asia
Yemen People's Republic,OWID_YPR,2023,Asia
Yugoslavia,OWID_YGS,2023,Europe
Zambia,ZMB,2023,Africa
Zimbabwe,ZWE,2023,Africa